RK;PLAYER;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;REB;AST;STL;BLK;TO;PF
1;Napheesa Collier;14;21,1;25,7;10,4;17,1;61,1;1,2;3,9;31,5;2,3;2,9;80,0;1,6;9,1;10,7;2,8;2,0;1,4;1,6;3,4
2;Kayla McBride;13;19,2;22,4;7,8;17,1;45,9;3,2;8,3;38,0;2,1;2,2;96,4;0,5;5,2;5,8;2,9;1,1;0,2;1,6;1,3
3;Chelsea Gray;14;19,9;21,4;8,2;18,1;45,5;2,6;5,6;46,2;1,6;1,6;95,7;1,0;4,1;5,1;5,5;1,3;0,4;2,8;2,2
4;Rhyne Howard;13;19,8;20,5;6,8;17,4;38,9;3,5;9,5;37,1;1,8;2,1;85,2;1,1;4,6;5,7;2,2;1,2;1,1;1,6;3,2
5;Dearica Hamby;12;17,1;19,9;7,7;13,7;56,1;0,8;2,1;40,0;2,2;3,3;65,0;2,3;7,6;9,9;2,3;1,3;0,3;2,0;3,0
6;Allisha Gray;14;19,6;19,4;6,7;14,3;47,0;2,4;6,2;37,9;1,9;2,2;87,1;0,7;5,0;5,7;2,7;1,2;0,1;1,5;3,1
7;Breanna Stewart;14;18,6;19,1;7,0;16,0;43,8;0,6;3,0;19,0;2,6;3,4;78,7;1,1;10,1;11,1;3,1;1,1;1,1;1,5;1,9
8;Sabrina Ionescu;9;19,2;18,2;6,6;15,9;41,3;2,6;7,1;35,9;1,4;1,8;81,3;1,4;5,6;7,0;4,1;0,4;0,2;1,7;1,8
9;Skylar Diggins;14;16,1;17,9;6,9;13,1;52,2;1,1;3,6;32,0;1,6;2,1;79,3;1,1;1,6;2,6;4,7;1,5;0,4;1,4;3,4
10;Brittney Griner;14;15,4;16,7;7,1;11,1;64,5;0,4;0,6;55,6;1,1;1,5;76,2;0,9;4,9;5,8;1,4;0,3;1,3;1,7;1,8
11;Kahleah Copper;7;15,9;16,6;6,9;15,1;45,3;0,9;3,6;24,0;1,0;1,6;63,6;1,0;5,7;6,7;0,7;0,7;0,1;2,0;2,9
12;Tiffany Hayes;10;15,8;16,1;6,2;15,7;39,5;1,3;5,3;24,5;1,3;2,2;59,1;0,8;4,5;5,3;2,6;1,1;0,1;1,8;2,8
13;Jackie Young;6;13,2;15,5;5,5;10,2;54,1;2,5;4,8;51,7;1,2;1,5;77,8;1,0;2,0;3,0;3,0;0,5;0,0;0,8;3,0
14;Satou Sabally;14;13,5;15,3;5,6;13,2;42,7;1,8;4,7;37,9;1,2;1,9;63,0;0,9;4,9;5,7;1,9;0,6;0,1;2,3;3,4
