RK;PLAYER;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;REB;AST;STL;BLK;TO;PF
31;Courtney Williams;6;13,2;8,0;3,8;8,5;45,1;0,3;1,0;33,3;0,0;0,2;0,0;0,3;5,2;5,5;5,0;0,2;0,2;1,3;2,3
32;Naz Hillmon;6;11,3;7,7;2,8;6,0;47,2;0,5;2,7;18,8;0,8;1,2;71,4;1,2;5,0;6,2;0,8;0,2;0,3;1,8;2,2
33;Brittney Griner;5;6,0;7,6;2,6;4,4;59,1;0,0;0,2;0,0;1,4;1,6;87,5;1,2;2,6;3,8;0,0;0,0;0,8;1,4;2,4
34;Jordin Canada;6;8,7;7,5;2,3;8,0;29,2;1,0;3,3;30,0;1,0;1,0;100,0;0,5;4,0;4,5;3,2;0,7;0,2;0,5;1,8
35;Lexie Hull;5;11,8;6,4;2,2;6,8;32,4;0,8;3,6;22,2;0,6;0,6;100,0;1,8;2,4;4,2;1,0;2,0;0,4;0,8;2,0
36;Erica Wheeler;6;9,8;6,2;2,2;6,5;33,3;1,0;3,0;33,3;0,5;0,7;75,0;0,8;2,2;3,0;2,8;0,5;0,0;0,7;1,3
37;Kate Martin;6;9,0;6,0;2,5;5,8;42,9;0,2;2,2;7,7;0,3;0,7;50,0;1,0;3,0;4,0;0,7;0,2;0,2;1,0;2,0
38;Saniya Rivers;6;8,8;5,7;2,5;7,3;34,1;0,3;2,0;16,7;0,2;0,5;33,3;0,3;2,8;3,2;0,8;0,8;1,7;1,2;1,2
39;Rae Burrell;6;7,3;5,7;2,0;5,0;40,0;0,5;1,2;42,9;0,7;0,8;80,0;1,0;2,0;3,0;1,5;0,7;0,2;0,8;1,0
40;Rebecca Allen;6;13,2;5,5;2,2;6,0;36,1;1,2;3,2;36,8;0,0;0,0;0;0,7;2,3;3,0;1,3;0,3;1,3;2,0;3,7
41;Sug Sutton;6;8,2;5,5;2,2;5,3;40,6;0,8;3,0;27,8;0,2;0,2;100,0;0,0;1,2;1,2;2,0;1,0;0,0;0,3;2,5
42;Alanna Smith;6;7,5;5,3;2,3;5,3;43,8;0,0;1,7;0,0;0,3;1,0;33,3;0,8;3,2;4,0;0,3;0,2;1,0;0,7;2,3
43;Li Yueru;6;6,3;5,0;2,0;4,3;46,2;0,2;1,0;16,7;0,5;0,5;100,0;0,8;2,7;3,5;0,3;0,2;0,3;0,2;1,8
44;Natisha Hiedeman;6;8,0;4,2;1,7;5,7;29,4;0,5;2,3;21,4;0,2;0,3;50,0;0,5;1,3;1,8;1,7;0,2;0,0;0,7;1,8
45;Temi Fágbénlé;6;6,3;3,7;1,7;2,7;62,5;0,0;0,3;0,0;0,2;0,7;25,0;1,3;2,2;3,5;0,2;0,7;0,3;1,2;1,8
46;Rachel Banham;6;5,0;3,3;1,2;2,5;46,7;1,0;2,3;42,9;0,0;0,2;0,0;0,0;1,7;1,7;0,5;0,0;0,0;0,5;2,0
47;Aari McDonald;1;6,0;2,0;0,0;4,0;0,0;0,0;1,0;0,0;1,0;3,0;33,3;1,0;0,0;1,0;0,0;0,0;0,0;0,0;2,0
